category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
720|24964,Circular Saw Blades|Circular Saw Blades,24130,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk - IRWIN Tools - 24130,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-24-package-type-bulk-irwin-tools-24130.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk - IRWIN Tools - 24130,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk
720|24964,Circular Saw Blades|Circular Saw Blades,24031,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Bulk,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Bulk - IRWIN Tools - 24031,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-40-package-type-bulk-irwin-tools-24031.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Bulk - IRWIN Tools - 24031,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Bulk
720|24964,Circular Saw Blades|Circular Saw Blades,24030,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk - IRWIN Tools - 24030,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-24-package-type-bulk-irwin-tools-24030.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk - IRWIN Tools - 24030,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Bulk
720|24964,Circular Saw Blades|Circular Saw Blades,24028,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Bulk,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Bulk - IRWIN Tools - 24028,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-18-package-type-bulk-irwin-tools-24028.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Bulk - IRWIN Tools - 24028,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Bulk
720|24964,Circular Saw Blades|Circular Saw Blades,24021,"6-1/2"" Marathon® Portable Corded Circular Saw Blade","6-1/2"" Marathon® Portable Corded Circular Saw Blade - IRWIN Tools - 24021",E:\IMAGES\ITEMS\product\6\-\6-12-marathonreg-portable-corded-circular-saw-blade-irwin-tools-24021.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,"6-1/2"" Marathon® Portable Corded Circular Saw Blade - IRWIN Tools - 24021","6-1/2"" Marathon® Portable Corded Circular Saw Blade"
720|24964,Circular Saw Blades|Circular Saw Blades,14130,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Carded,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Carded - IRWIN Tools - 14130,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-24-package-type-carded-irwin-tools-14130.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Carded - IRWIN Tools - 14130,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 24 Package Type: Carded
720|24964,Circular Saw Blades|Circular Saw Blades,14031,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Carded,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Carded - IRWIN Tools - 14031,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-40-package-type-carded-irwin-tools-14031.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Carded - IRWIN Tools - 14031,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 40 Package Type: Carded
720|24964,Circular Saw Blades|Circular Saw Blades,14030,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth 24 Package Type: Carded,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth 24 Package Type: Carded - IRWIN Tools - 14030,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-24-package-type-carded-irwin-tools-14030.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth 24 Package Type: Carded - IRWIN Tools - 14030,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth 24 Package Type: Carded
720|24964,Circular Saw Blades|Circular Saw Blades,14028,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Carded,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Carded - IRWIN Tools - 14028,E:\IMAGES\ITEMS\product\7\-\7-14-marathonreg-portable-corded-circular-saw-blade-teeth-18-package-type-carded-irwin-tools-14028.jpg,Irwin Tools,Marathon® Portable Corded Circular Saw Blades,,"New and improved design . The Fastest Framing Blade Ever!™ . Every other tooth is thinner for faster cuts . New heat vent/expansion slot design reduces vibration for longer life and straighter cuts . Construction grade carbide teeth for longer life . Reinforced shoulder for added durability . Fully hardened plate runs truer, longer.",,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Carded - IRWIN Tools - 14028,7-1/4'' Marathon® Portable Corded Circular Saw Blade Teeth: 18 Package Type: Carded
698|21857,Pliers|Linesman Pliers,2078915,Lineman's Pliers with Spring,Lineman's Pliers with Spring - IRWIN Tools - 2078915,E:\IMAGES\ITEMS\product\l\i\linemans-pliers-with-spring-irwin-tools-2078915.jpg,Irwin Tools,Lineman's Pliers with Spring,,Induction hardened cutting edge that stays sharp longer . Machined jaws for maximum gripping power . Nickel chromium steel construction for overall strength and durability . ProTouch™ grip for comfort and reduced hand fatigue . High leverage for greater force at the jaw . Spring loaded for easy gripping and reduced hand fatigue.,,Lineman's Pliers with Spring - IRWIN Tools - 2078915,Lineman's Pliers with Spring
698|21859,Pliers|Long Nose and Needle Nose Pliers,2078905,Long Nose with Spring & Cutter,Long Nose with Spring & Cutter - IRWIN Tools - 2078905,E:\IMAGES\ITEMS\product\l\o\long-nose-with-spring-cutter-irwin-tools-2078905.jpg,Irwin Tools,Long Nose with Spring & Cutter,,Induction hardened cutting edge that stays sharp longer . Machined jaws for maximum gripping power . Nickel chromium steel construction for overall strength and durability . ProTouch™ grip for comfort and reduced hand fatigue . High leverage for greater force at the jaw . Spring loaded for easy gripping and reduced hand fatigue.,,Long Nose with Spring & Cutter - IRWIN Tools - 2078905,Long Nose with Spring & Cutter
144|21776,Levels|Box | I-Beam | Torpedo Levels,2035207,"78"" Magnetic I-Beam Level","78"" Magnetic I-Beam Level - IRWIN Tools - 2035207",E:\IMAGES\ITEMS\product\2\0\24-Magnetic-I-Beam-Level-IRWIN-Tools.jpg,Irwin Tools,Magnetic I-Beam Levels,,"Rare earth magnets are 30% stronger than strip magnets. MagnaVials™ are 20% larger for easy, accurate reading. Shock absorbing rubber end caps. Patent-Pending dual chamber design is 2x stronger than traditional I-Beam levels. Acrylic vial housings are impact resistant. Top Read™ window allows for convenient viewing.",,"78"" Magnetic I-Beam Level - IRWIN Tools - 2035207","78"" Magnetic I-Beam Level"
144|21776,Levels|Box | I-Beam | Torpedo Levels,2035203,"48"" Magnetic I-Beam Level","48"" Magnetic I-Beam Level - IRWIN Tools - 2035203",E:\IMAGES\ITEMS\product\2\0\24-Magnetic-I-Beam-Level-IRWIN-Tools.jpg,Irwin Tools,Magnetic I-Beam Levels,,"Rare earth magnets are 30% stronger than strip magnets. MagnaVials™ are 20% larger for easy, accurate reading. Shock absorbing rubber end caps. Patent-Pending dual chamber design is 2x stronger than traditional I-Beam levels. Acrylic vial housings are impact resistant. Top Read™ window allows for convenient viewing.",,"48"" Magnetic I-Beam Level - IRWIN Tools - 2035203","48"" Magnetic I-Beam Level"
